"Year","Month","Country","Ah1n12009","Ah1","Ah3","Ah5","Ah7n9","A_no_subtype","Bvic","Byam","Bnotdetermined","Influenza_A","Influenza_B"
2016,"February","Northern Hemisphere",57110,0,8681,0,1,37249,8120,3581,25279,103041,36980
2016,"February","Southern Hemisphere",487,0,163,0,0,12,23,28,214,662,265
2016,"January","Northern Hemisphere",30707,0,6375,0,0,9020,2916,1788,5724,46102,10428
2016,"January","Southern Hemisphere",248,0,124,0,0,6,23,32,105,378,160
2016,"July","Northern Hemisphere",372,0,1263,0,0,216,310,246,846,1851,1402
2016,"July","Southern Hemisphere",1358,0,582,0,0,621,239,70,468,2561,777
2016,"June","Northern Hemisphere",1031,0,808,2,0,316,620,319,1277,2157,2216
2016,"June","Southern Hemisphere",3225,0,231,0,0,1094,249,37,549,4550,835
2016,"March","Northern Hemisphere",24925,0,3378,4,1,32823,11896,3061,29230,61131,44187
2016,"March","Southern Hemisphere",1956,0,184,0,0,45,40,58,210,2185,308
2016,"May","Northern Hemisphere",2155,0,1007,2,0,1844,2019,949,7593,5008,10561
2016,"May","Southern Hemisphere",4059,0,261,0,0,758,149,38,441,5078,628
2016,"November","Northern Hemisphere",377,0,11006,0,0,4206,286,108,1324,15589,1718
2016,"November","Southern Hemisphere",14,0,153,0,0,48,31,7,112,215,150
2016,"October","Northern Hemisphere",386,0,6638,0,0,1340,351,171,929,8364,1451
2016,"October","Southern Hemisphere",98,0,509,0,0,217,94,30,339,824,463
2016,"September","Northern Hemisphere",280,0,3576,0,0,661,201,75,559,4517,835
2016,"September","Southern Hemisphere",329,0,1118,0,0,689,170,35,491,2136,696
2017,"April","Northern Hemisphere",2925,0,3405,1,1,5308,1812,2089,13383,11640,17284
2017,"April","Southern Hemisphere",48,0,1016,0,0,95,56,21,218,1159,295
2017,"August","Northern Hemisphere",2367,0,8712,0,0,442,241,374,619,11521,1234
2017,"August","Southern Hemisphere",136,0,899,0,0,2009,28,365,1160,3044,1553
2017,"December","Northern Hemisphere",10829,0,18849,0,0,38888,1724,12020,21960,68566,35704
2017,"December","Southern Hemisphere",194,0,160,0,0,21,16,65,179,375,260
2017,"February","Northern Hemisphere",4062,0,29131,2,8,53305,1224,2048,15367,86508,18639
2017,"February","Southern Hemisphere",26,0,665,0,0,37,5,7,111,728,123
2017,"January","Northern Hemisphere",2702,0,58354,0,21,72123,777,1115,6719,133200,8611
2017,"January","Southern Hemisphere",35,0,535,0,0,48,23,17,131,618,171
2017,"July","Northern Hemisphere",2314,0,16503,0,0,619,402,359,1024,19436,1785
2017,"July","Southern Hemisphere",148,0,1877,0,0,1986,38,416,757,4011,1211
2017,"June","Northern Hemisphere",1436,0,5032,0,0,682,496,462,1520,7150,2478
2017,"June","Southern Hemisphere",103,0,3355,0,0,1996,65,184,473,5454,722
2017,"March","Northern Hemisphere",5133,0,10526,0,4,20350,1927,2838,20240,36013,25005
2017,"March","Southern Hemisphere",47,0,675,0,0,57,25,17,168,779,210
2017,"May","Northern Hemisphere",2790,0,3606,0,0,1745,1283,1117,6793,8141,9193
2017,"May","Southern Hemisphere",108,0,2130,0,0,769,48,96,364,3007,508
2017,"November","Northern Hemisphere",5591,0,6549,0,0,5913,873,3807,3974,18053,8654
2017,"November","Southern Hemisphere",151,0,189,0,0,31,27,134,294,371,455
2017,"October","Northern Hemisphere",3240,0,5935,0,0,2123,403,1228,1676,11298,3307
2017,"October","Southern Hemisphere",195,0,484,0,0,189,29,216,748,868,993
2017,"September","Northern Hemisphere",1352,0,6252,0,0,718,297,591,656,8322,1544
2017,"September","Southern Hemisphere",197,0,953,0,0,1351,18,252,1154,2501,1424
2018,"April","Northern Hemisphere",6008,0,4442,0,0,11225,342,2262,15251,21675,17855
2018,"April","Southern Hemisphere",1759,0,429,0,0,489,24,146,463,2677,633
2018,"August","Northern Hemisphere",1383,0,496,0,0,374,55,104,320,2253,479
2018,"August","Southern Hemisphere",1218,0,928,0,0,1195,142,303,624,3341,1069
2018,"December","Northern Hemisphere",28857,0,7716,0,0,43472,210,182,2527,80045,2919
2018,"December","Southern Hemisphere",446,0,358,0,0,105,22,43,163,909,228
2018,"February","Northern Hemisphere",16925,0,13956,0,0,60540,935,14788,83402,91421,99125
2018,"February","Southern Hemisphere",294,0,197,0,0,67,29,110,205,558,344
2018,"January","Northern Hemisphere",25859,0,30397,0,0,102582,1991,22762,85125,158838,109878
2018,"January","Southern Hemisphere",659,0,223,0,0,90,12,93,228,972,333
